asset_id,name,code,card_id,status,identification,source_image
tts_154615,春的另一面「莉莉黑」,,character-fdn-068,已有卡面／重复裁切,project_image_match,cards/tts_154615__character-fdn-068.jpg
tts_154616,雾之湖公主「大妖精」,,character-lof-002,已有卡面／重复裁切,project_image_match,cards/tts_154616__character-lof-002.jpg
tts_154617,「龙宫使者」,SOI-058,56,已收录异画,printed_code_workbook,cards/tts_154617__unmatched.jpg
tts_154618,「妖精衍生物」,,,未对应当前卡池,face_transcription,cards/tts_154618__unmatched.jpg
tts_154619,表情丰富的扑克脸「秦心」,,character-htk-001,已有卡面／重复裁切,project_image_match,cards/tts_154619__character-htk-001.jpg
tts_154620,活力四射的冰之勇者「琪露诺」,,character-lof-001,已有卡面／重复裁切,project_image_match,cards/tts_154620__character-lof-001.jpg
tts_154621,五谷丰穰之神德「东风谷早苗」,,character-lof-003,已有卡面／重复裁切,project_image_match,cards/tts_154621__character-lof-003.jpg
tts_154622,香霖堂的谜之妖怪「朱鹭子」,,character-htk-002,已有卡面／重复裁切,project_image_match,cards/tts_154622__character-htk-002.jpg
tts_154623,使人做梦的妖怪「哆来咪·苏伊特」,,character-htk-005,已有卡面／重复裁切,project_image_match,cards/tts_154623__character-htk-005.jpg
tts_154700,烤八目鳗,,token-fdf-127,已有卡面／重复裁切,project_image_match,cards/tts_154700__token-fdf-127.jpg
tts_154701,美宵之酒,FDF-128,token-fdf-128,已有卡面／重复裁切,project_image_match,cards/tts_154701__token-fdf-128.jpg
tts_154702,「月兔制造机」,,item-fdf-097,已有卡面／重复裁切,project_image_match,cards/tts_154702__item-fdf-097.jpg
tts_154703,「蓬莱的玉枝」,,item-fdf-096,已有卡面／重复裁切,project_image_match,cards/tts_154703__item-fdf-096.jpg
tts_154704,魔炮「Final Master Spark」,,spell-fdf-008,已有卡面／重复裁切,project_image_match,cards/tts_154704__spell-fdf-008.jpg
tts_154705,星符「Meteonic Shower」,FDF-023,spell-fdf-023,已有卡面／重复裁切,project_image_match,cards/tts_154705__spell-fdf-023.jpg
tts_154706,星符「Escape Velocity」,FDF-019,spell-fdf-019,已有卡面／重复裁切,project_image_match,cards/tts_154706__spell-fdf-019.jpg
tts_154707,魔符「Stardust Reverie」,FDF-036,spell-fdf-036,已有卡面／重复裁切,project_image_match,cards/tts_154707__spell-fdf-036.jpg
tts_154708,道符「掌上の天道」,,spell-fdf-001,已有卡面／重复裁切,project_image_match,cards/tts_154708__spell-fdf-001.jpg
tts_154709,名誉「十二阶の色彩」,,spell-fdf-002,已有卡面／重复裁切,project_image_match,cards/tts_154709__spell-fdf-002.jpg
tts_154710,风神「风神木叶隐身术」,,spell-fdf-124,已有卡面／重复裁切,project_image_match,cards/tts_154710__spell-fdf-124.jpg
tts_154711,灵符「梦想妙珠」,REI-011,spell-rei-011,已有卡面／重复裁切,project_image_match,cards/tts_154711__spell-rei-011.jpg
tts_154712,「夏」,,spell-fdf-005,已有卡面／重复裁切,project_image_match,cards/tts_154712__spell-fdf-005.jpg
tts_154713,梦符「二重结界」,FDF-011,spell-fdf-011,已有卡面／重复裁切,project_image_match,cards/tts_154713__spell-fdf-011.jpg
tts_154714,神技「八方鬼缚阵」,FDF-007,spell-fdf-007,已有卡面／重复裁切,project_image_match,cards/tts_154714__spell-fdf-007.jpg
tts_154715,宝具「阴阳鬼神玉」,REI-010,spell-rei-010,已有卡面／重复裁切,project_image_match,cards/tts_154715__spell-rei-010.jpg
tts_154716,新史「新幻想史-现代史-」,,spell-fdf-009,已有卡面／重复裁切,project_image_match,cards/tts_154716__spell-fdf-009.jpg
tts_154717,虚史「幻想乡传说」,,spell-fdf-010,已有卡面／重复裁切,project_image_match,cards/tts_154717__spell-fdf-010.jpg
tts_154718,要石「天空ノ灵石」,,spell-fdf-013,已有卡面／重复裁切,project_image_match,cards/tts_154718__spell-fdf-013.jpg
tts_154719,结界「梦境与现实ノ诅咒」,,spell-fdf-014,已有卡面／重复裁切,project_image_match,cards/tts_154719__spell-fdf-014.jpg
tts_154720,幻葬「夜雾ノ幻影杀人鬼」,,spell-fdf-040,已有卡面／重复裁切,project_image_match,cards/tts_154720__spell-fdf-040.jpg
tts_154721,女仆秘技「杀人玩偶」,,spell-fdf-017,已有卡面／重复裁切,project_image_match,cards/tts_154721__spell-fdf-017.jpg
tts_154722,幻在「Clock Corpse」,,spell-fdf-055,已有卡面／重复裁切,project_image_match,cards/tts_154722__spell-fdf-055.jpg
tts_154723,反应「妖怪测谎仪」,,spell-fdf-018,已有卡面／重复裁切,project_image_match,cards/tts_154723__spell-fdf-018.jpg
tts_154724,表象「弹幕偏执狂」,,spell-fdf-021,已有卡面／重复裁切,project_image_match,cards/tts_154724__spell-fdf-021.jpg
tts_154725,深层「无意识ノ基因」,,spell-fdf-022,已有卡面／重复裁切,project_image_match,cards/tts_154725__spell-fdf-022.jpg
tts_154726,魂符「生魂流离ノ镰」,,spell-fdf-045,已有卡面／重复裁切,project_image_match,cards/tts_154726__spell-fdf-045.jpg
tts_154727,投钱「宵越ノ钱」,,spell-fdf-056,已有卡面／重复裁切,project_image_match,cards/tts_154727__spell-fdf-056.jpg
tts_154728,换命「不惜身命，可惜身命」,,spell-fdf-016,已有卡面／重复裁切,project_image_match,cards/tts_154728__spell-fdf-016.jpg
tts_154729,操符「乙女文乐」,,spell-fdf-030,已有卡面／重复裁切,project_image_match,cards/tts_154729__spell-fdf-030.jpg
tts_154730,诅咒「魔光ノ上海人形」,,spell-fdf-025,已有卡面／重复裁切,project_image_match,cards/tts_154730__spell-fdf-025.jpg
tts_154731,「幻想春花」,,spell-fdf-026,已有卡面／重复裁切,project_image_match,cards/tts_154731__spell-fdf-026.jpg
tts_154732,爆符「Mage-Flare」,,spell-fdf-027,已有卡面／重复裁切,project_image_match,cards/tts_154732__spell-fdf-027.jpg
